Gene,Day -4,Day -3,Day -2,Day -1,Day 0,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 13
C18orf25,1.07337,1.73366,0.939303,0.67051,0.843082,0.964467,0.402783,0.0674156,-0.632463,-0.869261,-0.784988,-1.07714,-0.983105,-1.32938,-1.01826
C19orf66,2.08659,1.55148,0.924427,0.780669,0.891515,0.231485,-0.420742,-0.429712,-0.687713,-0.696599,-0.812954,-0.937189,-0.835964,-0.735453,-0.909846
C1orf162,2.30571,1.45117,1.3557,0.542139,0.142739,-0.359114,-0.0161059,-0.397738,-0.597448,-0.698462,-0.398219,-1.16095,-0.405373,-1.06471,-0.699335
C2,1.65557,1.13164,1.22837,0.622781,0.782474,0.696526,0.433536,-0.243476,-0.248595,-0.499284,-0.777331,-1.00412,-1.09872,-1.4313,-1.24807
C20orf96,1.8426,1.09502,1.74634,0.272647,0.0328224,0.408306,-0.394837,-0.348322,-0.0298728,-0.216518,-0.234399,-0.932938,-1.59773,-0.128396,-1.51472
C21orf91,2.54667,1.17382,0.736978,0.799138,0.0220808,0.18309,-0.164985,-0.323922,-0.469082,-0.550109,-0.279436,-0.610445,-1.4128,-1.30323,-0.34776
C2CD5,2.39732,1.45249,0.755689,-0.0224493,-0.145257,-0.210839,-0.0398078,-0.0926754,-0.384125,-0.153533,0.484311,-0.612311,-0.482307,-1.20712,-1.73939
C2orf42,2.52291,0.950768,1.35087,0.40063,-0.243981,-0.138094,0.0143022,-0.132524,-0.268451,-0.455712,-0.481682,-0.28796,-1.41408,-1.35804,-0.458962
C2orf47,1.6963,1.33756,1.22295,0.730263,0.299207,0.0965351,-0.321027,0.361717,-0.0495114,-0.272945,-0.0384194,-1.11342,-1.13422,-0.957374,-1.85761
C2orf88,1.64278,1.19965,0.726087,0.981897,0.306737,0.827898,0.179007,-0.566032,-0.549896,-0.115597,0.101073,-0.669122,-1.22781,-2.10181,-0.734871
C3AR1,0.885772,1.04526,1.36588,0.861783,0.492166,0.533673,0.908996,-0.114072,-0.185396,-0.503787,-1.09682,-1.30935,-1.47094,-1.65011,0.236932
C3orf58,1.9103,1.21526,0.867253,0.245402,0.449025,-0.674396,-1.11172,0.00375274,0.0711762,-0.310971,0.69591,-0.346907,-0.20041,-0.551202,-2.26247
C5orf15,1.57683,1.36256,1.49259,0.907128,0.38952,0.136946,0.0254696,-0.200717,0.150401,-0.292262,-0.813188,-1.28658,-1.15002,-1.09571,-1.20298
C5orf22,2.25375,1.44778,1.20296,0.216953,0.258764,-0.489697,-0.603177,-0.319734,-0.611258,-0.700563,-0.52811,-1.07191,-0.720842,-1.08657,0.751657
C5orf30,2.16674,1.46034,1.08025,0.242521,0.423816,0.392176,-0.0774461,-0.324816,-0.235764,-0.238286,-0.390498,-0.828214,-1.42267,-1.11797,-1.13018
C5orf51,2.10674,1.0099,1.56767,0.355427,0.517452,0.0514405,0.122083,-0.0404614,-0.511705,-0.383048,-0.384799,-1.048,-0.892201,-1.52531,-0.945185
C9orf91,2.19501,1.48803,0.969902,1.05791,0.144366,-0.164496,-1.04662,-0.25219,-0.773345,-0.611101,-1.33081,-0.710514,-0.509472,-0.440079,-0.0165809
CAAP1,1.51015,1.37185,1.56166,0.375539,-0.472394,-0.372251,-1.14376,0.980659,-0.0572646,-0.101103,-0.442974,-0.209923,-0.161258,-1.81724,-1.0217
CADM3,0.939261,0.907465,2.3124,0.194483,0.806049,0.138228,0.078599,-1.11534,-0.497439,-1.23749,-1.12828,-0.508003,-1.23475,0.391852,-0.0470423
